package_manager,name,version,licenses,homepage,approved
Go,bitbucket.org/creachadair/shell,v0.0.7,New BSD,"",Approved
Go,cloud.google.com/go,v0.105.0,"Apache 2.0,New BSD","",Approved
Go,cloud.google.com/go/compute/metadata,v0.1.1,Apache 2.0,"",Approved
Go,cloud.google.com/go/iam,v0.5.0,Apache 2.0,"",Approved
Go,cloud.google.com/go/kms,v1.4.0,Apache 2.0,"",Approved
Go,cloud.google.com/go/monitoring,v1.2.0,Apache 2.0,"",Approved
Go,cloud.google.com/go/profiler,v0.3.0,Apache 2.0,"",Approved
Go,cloud.google.com/go/pubsub,v1.25.1,Apache 2.0,"",Approved
Go,cloud.google.com/go/secretmanager,v1.6.0,Apache 2.0,"",Approved
Go,cloud.google.com/go/storage,v1.27.0,Apache 2.0,"",Approved
Go,cuelang.org/go,v0.4.3,"Apache 2.0,MIT","",Approved
Go,github.com/Masterminds/semver,v1.5.0,MIT,"",Approved
Go,github.com/NYTimes/gziphandler,v1.1.1,Apache 2.0,"",Approved
Go,github.com/ProtonMail/go-crypto,v0.0.0-20221026131551-cf6655e29de4,New BSD,"",Approved
Go,github.com/PuerkitoBio/purell,v1.1.1,New BSD,"",Approved
Go,github.com/PuerkitoBio/rehttp,v1.1.0,New BSD,"",Approved
Go,github.com/PuerkitoBio/urlesc,v0.0.0-20170810143723-de5bf2ad4578,New BSD,"",Approved
Go,github.com/RoaringBitmap/roaring,v1.2.1,Apache 2.0,"",Approved
Go,github.com/agext/levenshtein,v1.2.3,Apache 2.0,"",Approved
Go,github.com/alecthomas/chroma,v0.10.0,MIT,"",Approved
Go,github.com/amit7itz/goset,v1.0.1,Apache 2.0,"",Approved
Go,github.com/andres-erbsen/clock,v0.0.0-20160526145045-9e14626cd129,MIT,"",Approved
Go,github.com/asaskevich/govalidator,v0.0.0-20210307081110-f21760c49a8d,MIT,"",Approved
Go,github.com/aws/aws-sdk-go,v1.44.72,"Apache 2.0,New BSD","",Approved
Go,github.com/aws/aws-sdk-go-v2,v1.13.0,"Apache 2.0,New BSD","",Approved
Go,github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream,v1.2.0,Apache 2.0,"",Approved
Go,github.com/aws/aws-sdk-go-v2/config,v1.13.1,Apache 2.0,"",Approved
Go,github.com/aws/aws-sdk-go-v2/credentials,v1.8.0,Apache 2.0,"",Approved
Go,github.com/aws/aws-sdk-go-v2/feature/ec2/imds,v1.10.0,Apache 2.0,"",Approved
Go,github.com/aws/aws-sdk-go-v2/feature/s3/manager,v1.9.1,Apache 2.0,"",Approved
Go,github.com/aws/aws-sdk-go-v2/internal/configsources,v1.1.4,Apache 2.0,"",Approved
Go,github.com/aws/aws-sdk-go-v2/internal/endpoints/v2,v2.2.0,Apache 2.0,"",Approved
Go,github.com/aws/aws-sdk-go-v2/internal/ini,v1.3.5,Apache 2.0,"",Approved
Go,github.com/aws/aws-sdk-go-v2/service/cloudwatch,v1.15.0,Apache 2.0,"",Approved
Go,github.com/aws/aws-sdk-go-v2/service/codecommit,v1.11.0,Apache 2.0,"",Approved
Go,github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding,v1.7.0,Apache 2.0,"",Approved
Go,github.com/aws/aws-sdk-go-v2/service/internal/presigned-url,v1.7.0,Apache 2.0,"",Approved
Go,github.com/aws/aws-sdk-go-v2/service/internal/s3shared,v1.11.0,Apache 2.0,"",Approved
Go,github.com/aws/aws-sdk-go-v2/service/kms,v1.14.0,Apache 2.0,"",Approved
Go,github.com/aws/aws-sdk-go-v2/service/s3,v1.24.1,Apache 2.0,"",Approved
Go,github.com/aws/aws-sdk-go-v2/service/sso,v1.9.0,Apache 2.0,"",Approved
Go,github.com/aws/aws-sdk-go-v2/service/sts,v1.14.0,Apache 2.0,"",Approved
Go,github.com/aws/smithy-go,v1.11.0,Apache 2.0,"",Approved
Go,github.com/aymerick/douceur,v0.2.0,MIT,"",Approved
Go,github.com/beevik/etree,v1.1.0,New BSD,"",Approved
Go,github.com/beorn7/perks,v1.0.1,MIT,"",Approved
Go,github.com/bits-and-blooms/bitset,v1.3.3,New BSD,"",Approved
Go,github.com/bmatcuk/doublestar,v1.3.4,MIT,"",Approved
Go,github.com/boj/redistore,v0.0.0-20180917114910-cd5dcc76aeff,MIT,"",Approved
Go,github.com/buildkite/go-buildkite/v3,v3.0.1,Simplified BSD,"",Approved
Go,github.com/c2h5oh/datasize,v0.0.0-20220606134207-859f65c6625b,MIT,"",Approved
Go,github.com/cenkalti/backoff,v2.2.1,MIT,"",Approved
Go,github.com/cenkalti/backoff/v4,v4.1.3,MIT,"",Approved
Go,github.com/certifi/gocertifi,v0.0.0-20210507211836-431795d63e8d,Mozilla Public License 2.0,"",Approved
Go,github.com/cespare/xxhash/v2,v2.1.2,MIT,"",Approved
Go,github.com/charmbracelet/glamour,v0.5.0,MIT,"",Approved
Go,github.com/cloudflare/circl,v1.2.0,New BSD,"",Approved
Go,github.com/cockroachdb/apd/v2,v2.0.1,Apache 2.0,"",Approved
Go,github.com/cockroachdb/errors,v1.9.0,Apache 2.0,"",Approved
Go,github.com/cockroachdb/logtags,v0.0.0-20211118104740-dabe8e521a4f,Apache 2.0,"",Approved
Go,github.com/cockroachdb/redact,v1.1.3,Apache 2.0,"",Approved
Go,github.com/containerd/typeurl,v1.0.2,Apache 2.0,"",Approved
Go,github.com/coreos/go-iptables,v0.6.0,Apache 2.0,"",Approved
Go,github.com/coreos/go-oidc,v2.2.1,Apache 2.0,"",Approved
Go,github.com/coreos/go-semver,v0.3.0,Apache 2.0,"",Approved
Go,github.com/cpuguy83/go-md2man/v2,v2.0.2,MIT,"",Approved
Go,github.com/davecgh/go-spew,v1.1.1,ISC,"",Approved
Go,github.com/daviddengcn/go-colortext,v1.0.0,MIT,"",Approved
Go,github.com/dcadenas/pagerank,v0.0.0-20171013173705-af922e3ceea8,MIT,"",Approved
Go,github.com/dennwc/varint,v1.0.0,MIT,"",Approved
Go,github.com/derision-test/glock,v1.0.0,MIT,"",Approved
Go,github.com/dgraph-io/ristretto,v0.1.0,Apache 2.0,"",Approved
Go,github.com/dineshappavoo/basex,v0.0.0-20170425072625-481a6f6dc663,MIT,"",Approved
Go,github.com/distribution/distribution/v3,v3.0.0-20220128175647-b60926597a1b,Apache 2.0,"",Approved
Go,github.com/djherbis/buffer,v1.2.0,MIT,"",Approved
Go,github.com/djherbis/nio/v3,v3.0.1,MIT,"",Approved
Go,github.com/dlclark/regexp2,v1.4.0,MIT,"",Approved
Go,github.com/dnaeon/go-vcr,v1.2.0,MIT,"",Approved
Go,github.com/docker/docker,v20.10.17,"Apache 2.0,MIT","",Approved
Go,github.com/docker/docker-credential-helpers,v0.6.4,MIT,"",Approved
Go,github.com/docker/go-connections,v0.4.0,Apache 2.0,"",Approved
Go,github.com/docker/go-units,v0.4.0,Apache 2.0,"",Approved
Go,github.com/dustin/go-humanize,v1.0.0,MIT,"",Approved
Go,github.com/emicklei/go-restful,v2.16.0,MIT,"",Approved
Go,github.com/emirpasic/gods,v1.18.1,Simplified BSD,"",Approved
Go,github.com/facebookgo/clock,v0.0.0-20150410010913-600d898af40a,MIT,"",Approved
Go,github.com/facebookgo/limitgroup,v0.0.0-20150612190941-6abd8d71ec01,BSD,"",Approved
Go,github.com/facebookgo/muster,v0.0.0-20150708232844-fd3d7953fd52,BSD,"",Approved
Go,github.com/fatih/color,v1.13.0,MIT,"",Approved
Go,github.com/felixge/fgprof,v0.9.2,MIT,"",Approved
Go,github.com/felixge/httpsnoop,v1.0.3,MIT,"",Approved
Go,github.com/fsnotify/fsnotify,v1.6.0,New BSD,"",Approved
